tau,paired,seed,fano,mean_weight,detection,n_traj
1,1,1,0.5389697138245616,1.3033333333333332,0.8253333333333334,1500
1,1,2,0.5591594825274727,1.244,0.814,1500
1,1,3,0.5606176475373827,1.23,0.8086666666666666,1500
1,1,4,0.5789445215729405,1.2333333333333334,0.8026666666666666,1500
1,1,5,0.5698847463153356,1.244,0.8073333333333333,1500
1,0,1,0.82499444073827,0.6,0.484,1500
1,0,2,0.8611538126867188,0.6133333333333333,0.48,1500
1,0,3,0.8796550955706507,0.6246666666666667,0.4826666666666667,1500
1,0,4,0.8589491694849604,0.6326666666666667,0.49266666666666664,1500
1,0,5,0.8592077928756446,0.6313333333333333,0.492,1500
2,1,1,0.5343490862208292,2.612,0.97,1500
2,1,2,0.5502646719779981,2.61,0.9686666666666667,1500
2,1,3,0.5833974202807121,2.5393333333333334,0.968,1500
2,1,4,0.5861453993320443,2.5286666666666666,0.9593333333333334,1500
2,1,5,0.5626655602551137,2.534,0.966,1500
2,0,1,0.6031555209661892,2.0646666666666667,0.9293333333333333,1500
2,0,2,0.6178477959665417,2.08,0.9313333333333333,1500
2,0,3,0.6492860459086,2.0873333333333335,0.926,1500
2,0,4,0.5936057857444333,2.1053333333333333,0.9426666666666667,1500
2,0,5,0.5726306950217611,2.1513333333333335,0.9486666666666667,1500
3,1,1,0.5244136514358566,4.115333333333333,0.9973333333333333,1500
3,1,2,0.5470719987167182,4.1033333333333335,0.9973333333333333,1500
3,1,3,0.5614280846132584,4.006666666666667,0.9966666666666667,1500
3,1,4,0.5546793100162013,4.032,0.996,1500
3,1,5,0.5473034004903855,4.052666666666667,0.9946666666666667,1500
3,0,1,0.6472863442062421,3.0613333333333332,0.9826666666666667,1500
3,0,2,0.7012844449180562,3.046666666666667,0.974,1500
3,0,3,0.7067318235224866,3.082666666666667,0.9766666666666667,1500
3,0,4,0.6552205286985217,3.0566666666666666,0.982,1500
3,0,5,0.6588867135221914,3.1486666666666667,0.978,1500
4,1,1,0.4962113151496441,5.6386666666666665,0.9986666666666667,1500
4,1,2,0.5425164605906984,5.656666666666666,0.9986666666666667,1500
4,1,3,0.536735620268515,5.532666666666667,0.9993333333333333,1500
4,1,4,0.550199370412605,5.537333333333334,0.9993333333333333,1500
4,1,5,0.5410815453772442,5.564,1.0,1500
4,0,1,0.618329650055402,4.510666666666666,0.998,1500
4,0,2,0.6461309512061295,4.506666666666667,0.9973333333333333,1500
4,0,3,0.6180627565066793,4.5553333333333335,0.998,1500
4,0,4,0.6080862418917578,4.512,0.9986666666666667,1500
4,0,5,0.6022585093744555,4.562666666666667,0.9973333333333333,1500
5,1,1,0.4932858435051386,7.238,1.0,1500
5,1,2,0.5154979653499777,7.268666666666666,1.0,1500
5,1,3,0.5143065516484921,7.122,0.9993333333333333,1500
5,1,4,0.540542474558462,7.128666666666667,0.9993333333333333,1500
5,1,5,0.522355796760377,7.172666666666666,1.0,1500
5,0,1,0.647924586784009,5.719333333333333,0.9993333333333333,1500
5,0,2,0.6709867113582124,5.726666666666667,1.0,1500
5,0,3,0.6122635678687752,5.802666666666667,1.0,1500
5,0,4,0.621114469013068,5.772,1.0,1500
5,0,5,0.6247413359717039,5.757333333333333,0.9986666666666667,1500
6,1,1,0.47746208900305565,8.797333333333333,1.0,1500
6,1,2,0.5301203281819477,8.782666666666668,1.0,1500
6,1,3,0.5067662000911618,8.692666666666666,1.0,1500
6,1,4,0.5582183665004439,8.664666666666667,1.0,1500
6,1,5,0.5038716515034111,8.708666666666666,1.0,1500
6,0,1,0.6465862881215897,7.112,1.0,1500
6,0,2,0.6579248723278696,7.106,1.0,1500
6,0,3,0.6166914138169587,7.205333333333333,1.0,1500
6,0,4,0.6181981556040452,7.1866666666666665,1.0,1500
6,0,5,0.6054036024016011,7.2,1.0,1500
7,1,1,0.48409009897982025,10.393333333333333,1.0,1500
7,1,2,0.5219921034066675,10.412666666666667,1.0,1500
7,1,3,0.505607737452944,10.269333333333334,1.0,1500
7,1,4,0.5731245515766059,10.260666666666667,1.0,1500
7,1,5,0.5036705724102658,10.359333333333334,1.0,1500
7,0,1,0.6464082598888273,8.466,1.0,1500
7,0,2,0.6575840922824933,8.411333333333333,1.0,1500
7,0,3,0.6385238331533136,8.567333333333334,1.0,1500
7,0,4,0.6282507986216196,8.524666666666667,1.0,1500
7,0,5,0.6260290132419095,8.560666666666666,1.0,1500
